timestamp,sample_lat
1734176568.0976186,0.01787
1734176568.0978854,0.02224
1734176568.0979733,0.06748
1734176568.098022,0.02968
1734176568.098068,0.02827
1734176568.0980966,0.01263
1734176568.098122,0.01398
1734176568.0981553,0.01124
1734176568.098185,0.01066
1734176568.0982065,0.01062
1734176568.0982258,0.01033
1734176568.098244,0.01003
1734176568.0982628,0.01013
1734176568.098285,0.0104
1734176568.0983045,0.0104
1734176568.0983226,0.01012
1734176568.0983407,0.01025
1734176568.0983589,0.01049
1734176568.0983758,0.00965
1734176568.0983937,0.01006
1734176568.0984113,0.01017
1734176568.0984285,0.00991
1734176568.0984466,0.01039
1734176568.0984635,0.00933
1734176568.0984812,0.0104
1734176568.0984986,0.01002
1734176568.098516,0.00984
1734176568.0985332,0.00985
1734176568.0985503,0.00999
1734176568.0985672,0.00961
1734176568.0985842,0.00974
1734176568.0986018,0.01012
1734176568.0986183,0.00937
1734176568.0993757,0.276979
1734176568.0995085,0.04143
1734176568.0995414,0.00966
1734176568.09956,0.00804
1734176568.0995774,0.00815
1734176568.0995953,0.00904
1734176568.0996113,0.00841
1734176568.099626,0.00771
1734176568.0996492,0.00814
1734176568.099665,0.00843
1734176568.0996795,0.00807
1734176568.0996933,0.0073
1734176568.0997074,0.00768
1734176568.0997212,0.00743
1734176568.0997415,0.0083
1734176568.0997558,0.00776
1734176568.099879,0.11488
1734176568.0999131,0.01469
1734176568.0999255,0.00363
1734176568.0999405,0.008
1734176568.099956,0.00826
1734176568.1002111,0.241
1734176568.100402,0.10798
1734176568.1004393,0.01014
1734176568.1004753,0.01321
1734176568.1004875,0.00332
1734176568.100503,0.00871
1734176568.1005197,0.00861
1734176568.1005354,0.00796
1734176568.1081178,0.32158
1734176568.108277,0.09926
1734176568.1085553,0.242
1734176568.1086142,0.02345
1734176568.1087363,0.10786
1734176568.1087594,0.00871
1734176568.1087825,0.00873
1734176568.108799,0.00791
1734176568.1088154,0.00813
1734176568.1088407,0.0126
1734176568.1088645,0.01586
1734176568.108887,0.01532
1734176568.1089616,0.02392
1734176568.1091847,0.64491
1734176568.1092575,0.02792
1734176568.1092746,0.00396
1734176568.1092935,0.009649
1734176568.109315,0.335209
1734176568.1093683,0.02398
1734176568.1093981,0.015091
1734176568.109419,0.011111
1734176568.109617,0.313119
1734176568.1096497,0.01391
1734176568.1097434,0.08333
1734176568.109765,0.0109
1734176568.1097877,0.01032
1734176568.1098096,0.01379
1734176568.1098278,0.01016
1734176568.109846,0.01025
1734176568.1098635,0.00983
1734176568.1099005,0.469809
1734176568.10996,0.02244
1734176568.1100302,0.15766
1734176568.1100578,0.01526
1734176568.1100764,0.01027
1734176568.1100948,0.01029
1734176568.1101134,0.01045
1734176568.110131,0.01021
1734176568.1101742,0.03622
1734176568.1102188,0.24278
1734176568.1102476,0.01472
1734176568.1102686,0.01065
1734176568.1102874,0.01014
1734176568.1103058,0.01032
1734176568.1105478,0.36059
1734176568.1106691,0.08899
1734176568.1107411,0.06008
1734176568.1107907,0.03922
1734176568.110814,0.01077
1734176568.110936,0.61992
1734176568.1109917,0.02006
1734176568.1110096,0.00401
1734176568.111022,0.00311
1734176568.1110342,0.00317
1734176568.1110501,0.00885
1734176568.1110654,0.0081
1734176568.1110792,0.00759
1734176568.1110878,0.00243
